inc_day,all_fee_rmb
2015-07-01,1214.66265709
2015-07-02,1191.57082666
2015-07-03,1230.9019313
2015-07-04,920.170350244
2015-07-05,758.889531887
2015-07-06,1230.06821963
2015-07-07,1280.54504328
2015-07-08,1260.5397878
2015-07-09,1224.0958075
2015-07-10,1241.31027278
2015-07-11,887.858009641
2015-07-12,823.287954644
2015-07-13,1245.1249154
2015-07-14,1263.20478044
2015-07-15,1237.43744595
2015-07-16,1210.95606661
2015-07-17,1249.37560946
2015-07-18,952.29102634
2015-07-19,824.59911191
2015-07-20,1209.43993407
2015-07-21,1272.76713321
2015-07-22,1267.91643004
2015-07-23,1202.09753415
2015-07-24,1231.36674289
2015-07-25,939.538583176
2015-07-26,707.462945161
2015-07-27,1156.6932991
2015-07-28,1215.47567498
2015-07-29,1227.46795991
2015-07-30,1216.55235554
2015-07-31,1258.56571557
2015-08-01,886.826282232
2015-08-02,722.653387924
2015-08-03,1115.94479111
2015-08-04,1177.31020106
2015-08-05,1196.25301445
2015-08-06,1202.7427501
2015-08-07,1195.75256559
2015-08-08,886.340495999
2015-08-09,710.415017307
2015-08-10,1167.17877778
2015-08-11,1218.68668682
2015-08-12,1205.238034
2015-08-13,1232.40418446
2015-08-14,1242.69425543
2015-08-15,961.195775367
2015-08-16,815.48965562
2015-08-17,1273.39535233
2015-08-18,1365.37410034
2015-08-19,1300.93543754
2015-08-20,1247.9117705
2015-08-21,1236.33580967
2015-08-22,905.403356171
2015-08-23,709.791319196
2015-08-24,1250.28418167
2015-08-25,1399.54276414
2015-08-26,1349.89064387
2015-08-27,1259.66270472
2015-08-28,1255.01047355
2015-08-29,967.983848737
2015-08-30,758.401577755
2015-08-31,1258.78063476
2015-09-01,1210.00569681
2015-09-02,1231.3803393
2015-09-03,761.350163284
2015-09-04,851.773071405
2015-09-05,836.459216152
2015-09-06,1136.05076052
2015-09-07,1277.86829201
2015-09-08,1318.14354279
2015-09-09,1446.31854324
2015-09-10,1386.99690272
2015-09-11,1385.69193209
2015-09-12,1047.61346709
2015-09-13,780.013052681
2015-09-14,1298.84882165
2015-09-15,1422.79941385
2015-09-16,1423.74800181
2015-09-17,1408.39714489
2015-09-18,1467.24326256
2015-09-19,1139.03639448
2015-09-20,938.262943263
2015-09-21,1479.08147342
2015-09-22,1620.03825573
2015-09-23,1665.10988981
2015-09-24,1576.01627382
2015-09-25,1606.33464306
2015-09-26,1135.40884879
2015-09-27,780.634913274
2015-09-28,1304.65043759
2015-09-29,1321.76551532
2015-09-30,1264.48530509
2015-10-01,850.694382473
2015-10-02,870.678695214
